年月,プロジェクトコード,プロジェクト名,部門,売上高,売上原価,販管費,営業利益
202501,P001,基幹システム刷新,開発部,28800000,16061000,468000,12271000
202501,P002,髙島商事向け導入支援,営業1部,11510000,7383000,308000,3819000
202501,P003,データ分析基盤構築,開発部,26520000,18330000,766000,7424000
202501,P004,"クラウド移行支援(設計,構築)",営業2部,21980000,12457000,917000,8606000
202501,P005,保守運用サービス,営業1部,13860000,7962000,1243000,4655000
202501,Z999,販売費および一般管理費,本社,0,0,7911000,-7911000
202501,Z999,販売費および一般管理費,共通,0,0,5275000,-5275000
202502,P001,基幹システム刷新,開発部,20340000,12034000,1042000,7264000
202502,P002,髙島商事向け導入支援,営業1部,23980000,18483000,312000,5185000
202502,P003,データ分析基盤構築,開発部,8740000,5647000,546000,2547000
202502,P004,"クラウド移行支援(設計,構築)",営業2部,13740000,7881000,307000,5552000
202502,P005,保守運用サービス,営業1部,20660000,11852000,434000,8374000
202502,Z999,販売費および一般管理費,本社,0,0,6447000,-6447000
202502,Z999,販売費および一般管理費,共通,0,0,4299000,-4299000
202503,P001,基幹システム刷新,開発部,11210000,7449000,1222000,2539000
202503,P002,髙島商事向け導入支援,営業1部,24770000,18551000,626000,5593000
202503,P003,データ分析基盤構築,開発部,22950000,17955000,487000,4508000
202503,P004,"クラウド移行支援(設計,構築)",営業2部,15210000,9449000,764000,4997000
202503,P005,保守運用サービス,営業1部,18720000,14134000,1443000,3143000
202503,Z999,販売費および一般管理費,本社,0,0,7926000,-7926000
202503,Z999,販売費および一般管理費,共通,0,0,5285000,-5285000
202504,P001,基幹システム刷新,開発部,18940000,12858000,528000,5554000
202504,P002,髙島商事向け導入支援,営業1部,26580000,15290000,491000,10799000
202504,P003,データ分析基盤構築,開発部,29620000,18897000,543000,10180000
202504,P004,"クラウド移行支援(設計,構築)",営業2部,14670000,10522000,482000,3666000
202504,P005,保守運用サービス,営業1部,16930000,11032000,352000,5546000
202504,Z999,販売費および一般管理費,本社,0,0,8305000,-8305000
202504,Z999,販売費および一般管理費,共通,0,0,5538000,-5538000
202505,P001,基幹システム刷新,開発部,26690000,17741000,1355000,7594000
202505,P002,髙島商事向け導入支援,営業1部,17180000,12031000,1380000,3769000
202505,P003,データ分析基盤構築,開発部,23700000,15482000,372000,7846000
202505,P004,"クラウド移行支援(設計,構築)",営業2部,21270000,13846000,601000,6823000
202505,P005,保守運用サービス,営業1部,25450000,14831000,1060000,9559000
202505,Z999,販売費および一般管理費,本社,0,0,7336000,-7336000
202505,Z999,販売費および一般管理費,共通,0,0,4891000,-4891000
202506,P001,基幹システム刷新,開発部,27610000,16097000,1058000,10455000
202506,P002,髙島商事向け導入支援,営業1部,18700000,14043000,815000,3842000
202506,P003,データ分析基盤構築,開発部,13480000,9946000,545000,2989000
202506,P004,"クラウド移行支援(設計,構築)",営業2部,30000000,21366000,1431000,7203000
202506,P005,保守運用サービス,営業1部,11420000,6763000,1239000,3418000
202506,Z999,販売費および一般管理費,本社,0,0,8097000,-8097000
202506,Z999,販売費および一般管理費,共通,0,0,5398000,-5398000
